time drag lift
1.000000000000000056e-01 5.249232451681622003e+00 -1.937996570745533290e-02
2.000000000000000111e-01 2.233418400624807898e+00 -2.915946748254366616e-02
3.000000000000000444e-01 3.053995630434854558e+00 -3.901950683130603337e-02
4.000000000000000222e-01 2.949048976153905599e+00 -4.900343016966476895e-02
5.000000000000000000e-01 2.859958519986279146e+00 -5.158420649187353546e-02
5.999999999999999778e-01 2.812009764959651825e+00 -3.194330735208324862e-02
6.999999999999999556e-01 2.892039492915630561e+00 1.123766474636080440e-03
7.999999999999999334e-01 2.794027374987229528e+00 -2.309054647450408987e-04
8.999999999999999112e-01 2.855457440209009601e+00 -5.106401615316178560e-02
9.999999999999998890e-01 2.817465393947034435e+00 -7.201857971302506878e-02
1.099999999999999867e+00 2.843422357209079099e+00 -3.487356462394044371e-02
1.199999999999999956e+00 2.815975161311995212e+00 8.204431877823230648e-03
1.300000000000000044e+00 2.845994252086513132e+00 -1.154703949750530458e-02
1.400000000000000133e+00 2.815531948580086485e+00 -6.867711987402703999e-02
1.500000000000000222e+00 2.844001057129621923e+00 -6.565321472448119866e-02
1.600000000000000311e+00 2.819206465082795265e+00 -1.025042067242935492e-03
1.700000000000000400e+00 2.841239640132571687e+00 1.580047731767009189e-02
1.800000000000000488e+00 2.823516909252457463e+00 -5.758581233033112368e-02
1.900000000000000577e+00 2.841536973263264709e+00 -9.920038526155379455e-02
2.000000000000000444e+00 2.828654104542517533e+00 -1.827162875179782001e-02
2.100000000000000533e+00 2.844468365229852136e+00 5.621491109103914779e-02
2.200000000000000622e+00 2.835343068930689103e+00 -2.918516299311437259e-02
2.300000000000000711e+00 2.851810344983540357e+00 -1.431034205973834295e-01
2.400000000000000799e+00 2.845663499430731491e+00 -6.055734255856184273e-02
2.500000000000000888e+00 2.861777215949885544e+00 1.001822576675100024e-01
2.600000000000000977e+00 2.858209703823476833e+00 2.230651623568886271e-02
2.700000000000001066e+00 2.875458507289297305e+00 -1.873606207085667663e-01
2.800000000000001155e+00 2.874143304072060978e+00 -1.207788882746938242e-01
2.900000000000001243e+00 2.889601147013871163e+00 1.410857711979333906e-01
3.000000000000001332e+00 2.889888712222641320e+00 8.583501104749517718e-02
3.100000000000001421e+00 2.905706232179734894e+00 -2.280053700131051131e-01
3.200000000000001510e+00 2.907075831178884240e+00 -1.886806705826121477e-01
3.300000000000001599e+00 2.920176576394712065e+00 1.771006229404101240e-01
3.400000000000001688e+00 2.922338791352981691e+00 1.546390077474700808e-01
3.500000000000001776e+00 2.935976022045155620e+00 -2.617156980363037899e-01
3.600000000000001865e+00 2.938343703023181153e+00 -2.615259736439277116e-01
3.700000000000001954e+00 2.949145820970890952e+00 2.039089676009131213e-01
3.800000000000002043e+00 2.952034041620314575e+00 2.283352443720730318e-01
3.900000000000002132e+00 2.963711119930701354e+00 -2.828820603326090977e-01
4.000000000000001776e+00 2.966368289423503946e+00 -3.384757226767131089e-01
4.100000000000001421e+00 2.974997792074205449e+00 2.153864490375507479e-01
4.200000000000001066e+00 2.978177768578119000e+00 3.052568640733639982e-01
4.300000000000000711e+00 2.987797521917271215e+00 -2.859244590557419863e-01
4.400000000000000355e+00 2.990669254730401683e+00 -4.166165585807737326e-01
4.500000000000000000e+00 2.996963266976868212e+00 2.066436783228166874e-01
4.599999999999999645e+00 3.000418062732052693e+00 3.817216965598491663e-01
4.699999999999999289e+00 3.007810149947191647e+00 -2.668818671678909737e-01
4.799999999999998934e+00 3.011041190498931375e+00 -4.916791120617240440e-01
4.899999999999998579e+00 3.014969781496985135e+00 1.750332467469615794e-01
4.999999999999998224e+00 3.018693780976992702e+00 4.527465315920798927e-01
5.099999999999997868e+00 3.023969281831619949e+00 -2.245024428461092070e-01
